#  , subDLAs (19.0 < logNHI < 20.3)                                          , DLAs (20.3 < logNHI < 22.0)
# z, omegaDLA5, omegaDLA17, omegaDLAmedian, omegaDLA83, omegaDLA95, omegaDLA5, omegaDLA17, omegaDLAmedian, omegaDLA83, omegaDLA95
2.104999999999999982e+00 1.379999999999999933e-04 1.530000000000000056e-04 1.759999999999999954e-04 2.000000000000000096e-04 2.190000000000000106e-04 6.890000000000000508e-04 7.169999999999999724e-04 7.569999999999999689e-04 8.009999999999999542e-04 8.329999999999999731e-04
2.115000000000000213e+00 1.369999999999999961e-04 1.520000000000000084e-04 1.749999999999999982e-04 2.000000000000000096e-04 2.180000000000000134e-04 6.890000000000000508e-04 7.169999999999999724e-04 7.579999999999999932e-04 8.009999999999999542e-04 8.329999999999999731e-04
2.125000000000000000e+00 1.379999999999999933e-04 1.520000000000000084e-04 1.759999999999999954e-04 2.000000000000000096e-04 2.180000000000000134e-04 6.880000000000000265e-04 7.159999999999999481e-04 7.560000000000000530e-04 8.000000000000000383e-04 8.310000000000000329e-04
2.134999999999999787e+00 1.379999999999999933e-04 1.530000000000000056e-04 1.759999999999999954e-04 2.000000000000000096e-04 2.180000000000000134e-04 6.870000000000000022e-04 7.140000000000000079e-04 7.550000000000000287e-04 7.979999999999999897e-04 8.300000000000000086e-04
2.145000000000000018e+00 1.399999999999999877e-04 1.540000000000000028e-04 1.769999999999999926e-04 2.020000000000000040e-04 2.200000000000000078e-04 6.849999999999999535e-04 7.119999999999999593e-04 7.529999999999999801e-04 7.960000000000000495e-04 8.270000000000000441e-04
2.154999999999999805e+00 1.399999999999999877e-04 1.540000000000000028e-04 1.769999999999999926e-04 2.010000000000000068e-04 2.200000000000000078e-04 6.830000000000000134e-04 7.110000000000000434e-04 7.519999999999999558e-04 7.940000000000000009e-04 8.260000000000000198e-04
2.165000000000000036e+00 1.389999999999999905e-04 1.530000000000000056e-04 1.759999999999999954e-04 2.000000000000000096e-04 2.190000000000000106e-04 6.840000000000000377e-04 7.119999999999999593e-04 7.529999999999999801e-04 7.950000000000000252e-04 8.260000000000000198e-04
2.174999999999999822e+00 1.389999999999999905e-04 1.530000000000000056e-04 1.759999999999999954e-04 2.000000000000000096e-04 2.190000000000000106e-04 6.830000000000000134e-04 7.110000000000000434e-04 7.510000000000000399e-04 7.940000000000000009e-04 8.249999999999999955e-04
2.185000000000000053e+00 1.379999999999999933e-04 1.530000000000000056e-04 1.749999999999999982e-04 2.000000000000000096e-04 2.180000000000000134e-04 6.840000000000000377e-04 7.119999999999999593e-04 7.519999999999999558e-04 7.940000000000000009e-04 8.249999999999999955e-04
2.194999999999999840e+00 1.379999999999999933e-04 1.520000000000000084e-04 1.749999999999999982e-04 1.990000000000000124e-04 2.180000000000000134e-04 6.840000000000000377e-04 7.119999999999999593e-04 7.519999999999999558e-04 7.940000000000000009e-04 8.249999999999999955e-04
2.205000000000000071e+00 1.379999999999999933e-04 1.520000000000000084e-04 1.749999999999999982e-04 1.990000000000000124e-04 2.169999999999999891e-04 6.849999999999999535e-04 7.129999999999999836e-04 7.540000000000000044e-04 7.960000000000000495e-04 8.270000000000000441e-04
2.214999999999999858e+00 1.379999999999999933e-04 1.520000000000000084e-04 1.740000000000000010e-04 1.979999999999999881e-04 2.169999999999999891e-04 6.870000000000000022e-04 7.150000000000000322e-04 7.550000000000000287e-04 7.979999999999999897e-04 8.289999999999999843e-04
2.225000000000000089e+00 1.369999999999999961e-04 1.520000000000000084e-04 1.740000000000000010e-04 1.979999999999999881e-04 2.159999999999999919e-04 6.870000000000000022e-04 7.150000000000000322e-04 7.550000000000000287e-04 7.979999999999999897e-04 8.289999999999999843e-04
2.234999999999999876e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.740000000000000010e-04 1.979999999999999881e-04 2.159999999999999919e-04 6.920000000000000153e-04 7.190000000000000210e-04 7.600000000000000418e-04 8.019999999999999785e-04 8.329999999999999731e-04
2.245000000000000107e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.740000000000000010e-04 1.969999999999999909e-04 2.159999999999999919e-04 6.939999999999999555e-04 7.209999999999999612e-04 7.619999999999999820e-04 8.040000000000000271e-04 8.360000000000000460e-04
2.254999999999999893e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.159999999999999919e-04 6.999999999999999929e-04 7.280000000000000230e-04 7.699999999999999597e-04 8.120000000000000048e-04 8.440000000000000236e-04
2.265000000000000124e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.159999999999999919e-04 6.999999999999999929e-04 7.269999999999999987e-04 7.690000000000000438e-04 8.109999999999999805e-04 8.429999999999999993e-04
2.274999999999999911e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.020000000000000415e-04 7.299999999999999632e-04 7.709999999999999840e-04 8.140000000000000534e-04 8.450000000000000479e-04
2.285000000000000142e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.029999999999999574e-04 7.299999999999999632e-04 7.720000000000000083e-04 8.140000000000000534e-04 8.459999999999999638e-04
2.294999999999999929e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.039999999999999817e-04 7.320000000000000118e-04 7.730000000000000326e-04 8.149999999999999693e-04 8.469999999999999881e-04
2.305000000000000160e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.050000000000000060e-04 7.330000000000000361e-04 7.739999999999999485e-04 8.159999999999999936e-04 8.480000000000000124e-04
2.314999999999999947e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 6.999999999999999929e-04 7.280000000000000230e-04 7.690000000000000438e-04 8.120000000000000048e-04 8.429999999999999993e-04
2.325000000000000178e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 6.960000000000000041e-04 7.230000000000000098e-04 7.640000000000000306e-04 8.069999999999999916e-04 8.390000000000000105e-04
2.334999999999999964e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 6.909999999999999910e-04 7.190000000000000210e-04 7.600000000000000418e-04 8.019999999999999785e-04 8.339999999999999974e-04
2.345000000000000195e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 6.899999999999999667e-04 7.179999999999999967e-04 7.579999999999999932e-04 8.009999999999999542e-04 8.319999999999999488e-04
2.354999999999999982e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 6.920000000000000153e-04 7.200000000000000453e-04 7.600000000000000418e-04 8.030000000000000028e-04 8.339999999999999974e-04
2.365000000000000213e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 6.939999999999999555e-04 7.219999999999999855e-04 7.630000000000000063e-04 8.059999999999999673e-04 8.369999999999999619e-04
2.375000000000000000e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 6.960000000000000041e-04 7.240000000000000342e-04 7.649999999999999465e-04 8.080000000000000160e-04 8.390000000000000105e-04
2.384999999999999787e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 6.970000000000000284e-04 7.249999999999999500e-04 7.659999999999999708e-04 8.099999999999999561e-04 8.409999999999999507e-04
